id,fecha,categoria,producto,precio,cantidad,total,ciudad
1,2024-01-15,Electrónica,Laptop,899.99,2,1799.98,Madrid
2,2024-01-16,Ropa,Camiseta,29.99,5,149.95,Barcelona
3,2024-01-17,Electrónica,Mouse,25.50,10,255.00,Valencia
4,2024-01-18,Hogar,Almohada,19.99,3,59.97,Madrid
5,2024-01-19,Electrónica,Teclado,79.99,4,319.96,Sevilla
6,2024-01-20,Ropa,Pantalón,49.99,2,99.98,Barcelona
7,2024-01-21,Hogar,Mesa,199.99,1,199.99,Madrid
8,2024-01-22,Electrónica,Monitor,299.99,3,899.97,Valencia
9,2024-01-23,Ropa,Zapatos,89.99,1,89.99,Barcelona
10,2024-01-24,Hogar,Silla,149.99,2,299.98,Sevilla
11,2024-02-01,Electrónica,Tablet,399.99,2,799.98,Madrid
12,2024-02-02,Ropa,Chaqueta,79.99,3,239.97,Barcelona
13,2024-02-03,Electrónica,Auriculares,59.99,5,299.95,Valencia
14,2024-02-04,Hogar,Lámpara,39.99,4,159.96,Madrid
15,2024-02-05,Electrónica,Smartphone,599.99,1,599.99,Sevilla
16,2024-02-06,Ropa,Vestido,69.99,2,139.98,Barcelona
17,2024-02-07,Hogar,Espejo,49.99,1,49.99,Valencia
18,2024-02-08,Electrónica,Webcam,89.99,3,269.97,Madrid
19,2024-02-09,Ropa,Bufanda,19.99,6,119.94,Barcelona
20,2024-02-10,Hogar,Cortinas,79.99,2,159.98,Sevilla
21,2024-03-01,Electrónica,Impresora,199.99,2,399.98,Madrid
22,2024-03-02,Ropa,Guantes,14.99,4,59.96,Barcelona
23,2024-03-03,Electrónica,Altavoz,129.99,3,389.97,Valencia
24,2024-03-04,Hogar,Colchón,499.99,1,499.99,Madrid
25,2024-03-05,Electrónica,Smartwatch,249.99,2,499.98,Sevilla
26,2024-03-06,Ropa,Sudadera,59.99,3,179.97,Barcelona
27,2024-03-07,Hogar,Alfombra,89.99,2,179.98,Valencia
28,2024-03-08,Electrónica,Router,79.99,4,319.96,Madrid
29,2024-03-09,Ropa,Gorra,24.99,5,124.95,Barcelona
30,2024-03-10,Hogar,Estantería,149.99,1,149.99,Sevilla
